Date,Open,High,Low,Close,Adj Close,Volume
2018-12-18,6503.120117,6551.040039,6434.600098,6491.520020,6491.520020,2585400000
2018-12-19,6480.310059,6575.390137,6284.720215,6342.970215,6342.970215,2899950000
2018-12-20,6312.720215,6380.970215,6161.850098,6243.189941,6243.189941,3258090000
2018-12-21,6293.049805,6308.310059,6013.979980,6046.560059,6046.560059,4534120000
2018-12-24,5994.080078,6075.169922,5895.120117,5899.350098,5899.350098,1647270000
2018-12-26,5969.080078,6263.819824,5921.859863,6262.770020,6262.770020,2557940000
2018-12-27,6168.600098,6291.990234,6043.450195,6288.299805,6288.299805,2415870000
2018-12-28,6326.620117,6388.359863,6233.689941,6285.270020,6285.270020,2199090000
2018-12-31,6354.839844,6365.390137,6273.939941,6329.959961,6329.959961,2098560000
2019-01-02,6198.680176,6394.740234,6198.680176,6360.870117,6360.870117,2261800000
2019-01-03,6274.759766,6292.680176,6139.399902,6147.129883,6147.129883,2607290000
2019-01-04,6250.049805,6445.200195,6234.589844,6422.669922,6422.669922,2579550000
2019-01-07,6434.549805,6521.439941,6412.979980,6488.250000,6488.250000,2507550000
2019-01-08,6555.910156,6574.729980,6457.000000,6551.850098,6551.850098,2378290000
2019-01-09,6576.540039,6631.060059,6549.439941,6600.689941,6600.689941,2422590000
2019-01-10,6551.049805,6625.109863,6517.540039,6620.939941,6620.939941,2179080000
2019-01-11,6579.890137,6604.560059,6562.040039,6601.399902,6601.399902,2066500000
2019-01-14,6536.370117,6566.870117,6512.640137,6541.040039,6541.040039,1942210000
2019-01-15,6571.149902,6674.529785,6567.319824,6669.640137,6669.640137,2038090000
2019-01-16,6677.379883,6720.410156,6665.049805,6668.560059,6668.560059,2149580000
2019-01-17,6646.189941,6747.279785,6637.100098,6718.450195,6718.450195,2128840000
2019-01-18,6771.520020,6816.229980,6727.939941,6784.609863,6784.609863,2451240000
2019-01-22,6736.649902,6738.569824,6603.560059,6646.810059,6646.810059,2380950000
2019-01-23,6689.080078,6712.859863,6584.500000,6658.759766,6658.759766,2274420000
2019-01-24,6680.339844,6710.729980,6656.520020,6702.549805,6702.549805,2400290000
2019-01-25,6755.669922,6800.970215,6733.319824,6787.370117,6787.370117,2440840000
2019-01-28,6691.839844,6697.529785,6644.310059,6697.089844,6697.089844,2435480000
2019-01-29,6695.709961,6701.470215,6613.419922,6632.790039,6632.790039,2089690000
2019-01-30,6708.560059,6826.919922,6688.330078,6807.910156,6807.910156,2544050000
2019-01-31,6840.930176,6936.339844,6837.919922,6906.839844,6906.839844,2918710000
2019-02-01,6872.729980,6921.950195,6857.310059,6875.520020,6875.520020,2383430000
2019-02-04,6876.560059,6960.970215,6872.600098,6959.959961,6959.959961,2099470000
2019-02-05,6969.370117,7029.770020,6967.939941,7023.520020,7023.520020,2265520000
2019-02-06,7023.890137,7034.939941,6969.830078,6997.620117,6997.620117,2167130000
2019-02-07,6934.330078,6954.770020,6854.350098,6904.979980,6904.979980,2295080000
2019-02-08,6843.330078,6914.560059,6836.700195,6913.129883,6913.129883,2086260000
2019-02-11,6941.259766,6958.330078,6893.799805,6909.180176,6909.180176,1897800000
2019-02-12,6960.549805,7021.759766,6948.330078,7014.669922,7014.669922,2124330000
2019-02-13,7038.319824,7062.580078,7009.729980,7015.879883,7015.879883,2093800000
2019-02-14,6986.509766,7047.879883,6969.689941,7022.419922,7022.419922,2103370000
2019-02-15,7066.379883,7073.990234,7022.299805,7055.180176,7055.180176,2257750000
2019-02-19,7033.370117,7089.100098,7032.779785,7066.609863,7066.609863,2120790000
2019-02-20,7070.240234,7096.149902,7027.370117,7062.339844,7062.339844,2181760000
2019-02-21,7047.080078,7063.069824,7001.799805,7035.160156,7035.160156,2119080000
2019-02-22,7055.200195,7094.290039,7050.009766,7090.629883,7090.629883,2417680000
2019-02-25,7144.339844,7161.729980,7111.779785,7115.430176,7115.430176,2363140000
2019-02-26,7098.970215,7144.649902,7087.140137,7123.220215,7123.220215,2257710000
2019-02-27,7095.750000,7125.779785,7045.410156,7117.000000,7117.000000,2423360000
2019-02-28,7093.200195,7125.919922,7081.919922,7097.529785,7097.529785,2647080000
2019-03-01,7152.080078,7159.959961,7101.069824,7151.569824,7151.569824,2463190000
2019-03-04,7193.879883,7205.939941,7073.399902,7150.830078,7150.830078,2569590000
2019-03-05,7156.660156,7178.299805,7120.689941,7156.790039,7156.790039,2142610000
2019-03-06,7156.240234,7162.240234,7104.549805,7112.470215,7112.470215,2242810000
2019-03-07,7089.629883,7097.910156,7001.810059,7026.879883,7026.879883,2440840000
2019-03-08,6940.899902,7018.919922,6940.720215,7015.689941,7015.689941,2245430000
2019-03-11,7050.049805,7166.930176,7049.560059,7164.020020,7164.020020,2216950000
2019-03-12,7176.229980,7219.410156,7166.950195,7201.279785,7201.279785,16978670000
2019-03-13,7231.049805,7292.859863,7229.879883,7256.979980,7256.979980,2366350000
2019-03-14,7257.310059,7267.939941,7240.959961,7243.009766,7243.009766,2176510000
2019-03-15,7274.140137,7331.299805,7265.629883,7306.990234,7306.990234,3447190000
2019-03-18,7311.629883,7348.689941,7293.850098,7326.279785,7326.279785,2274490000
2019-03-19,7357.580078,7390.290039,7321.930176,7349.279785,7349.279785,2433160000
2019-03-20,7348.990234,7422.750000,7318.419922,7380.750000,7380.750000,2424400000
2019-03-21,7356.939941,7505.410156,7356.939941,7493.270020,7493.270020,2483580000
2019-03-22,7458.439941,7482.350098,7323.520020,7326.060059,7326.060059,2490730000
2019-03-25,7299.930176,7342.509766,7265.279785,7316.959961,7316.959961,2130230000
2019-03-26,7378.229980,7417.259766,7314.379883,7351.149902,7351.149902,2068900000
2019-03-27,7364.470215,7376.990234,7252.060059,7308.189941,7308.189941,2221650000
2019-03-28,7325.060059,7346.040039,7277.689941,7320.470215,7320.470215,1902060000
2019-03-29,7377.770020,7381.689941,7333.169922,7378.770020,7378.770020,2233470000
2019-04-01,7450.810059,7481.839844,7422.439941,7478.419922,7478.419922,2198050000
2019-04-02,7473.509766,7507.049805,7461.509766,7499.640137,7499.640137,2110100000
2019-04-03,7538.169922,7589.689941,7520.399902,7544.970215,7544.970215,2487210000
2019-04-04,7542.160156,7571.129883,7496.299805,7540.569824,7540.569824,2094200000
2019-04-05,7564.270020,7581.899902,7554.910156,7578.839844,7578.839844,2148730000
2019-04-08,7565.060059,7602.080078,7536.419922,7599.740234,7599.740234,2069190000
2019-04-09,7571.879883,7596.750000,7555.620117,7568.490234,7568.490234,2067570000
2019-04-10,7581.390137,7613.410156,7573.279785,7611.490234,7611.490234,1998280000
2019-04-11,7621.399902,7621.399902,7580.709961,7594.890137,7594.890137,1956840000
2019-04-12,7624.149902,7630.520020,7596.560059,7628.149902,7628.149902,1955290000
2019-04-15,7630.600098,7636.799805,7578.540039,7629.120117,7629.120117,1816920000
2019-04-16,7651.189941,7670.399902,7631.640137,7654.729980,7654.729980,2095330000
2019-04-17,7705.319824,7715.069824,7659.850098,7680.720215,7680.720215,2290690000
2019-04-18,7688.930176,7694.180176,7647.399902,7689.720215,7689.720215,2089360000
2019-04-22,7658.370117,7715.330078,7653.890137,7713.490234,7713.490234,1776060000
2019-04-23,7724.169922,7819.339844,7719.089844,7810.709961,7810.709961,2075070000
2019-04-24,7813.020020,7827.049805,7783.589844,7784.410156,7784.410156,2022490000
2019-04-25,7850.709961,7851.970215,7778.229980,7816.919922,7816.919922,2063270000
2019-04-26,7791.149902,7826.890137,7742.600098,7826.680176,7826.680176,1971270000
2019-04-29,7825.640137,7851.850098,7812.970215,7839.040039,7839.040039,1761110000
2019-04-30,7769.299805,7792.319824,7726.069824,7781.459961,7781.459961,2115770000
2019-05-01,7828.140137,7851.029785,7749.740234,7751.850098,7751.850098,2247420000
2019-05-02,7751.640137,7791.509766,7672.540039,7724.060059,7724.060059,2158600000
2019-05-03,7784.290039,7847.520020,7772.439941,7845.729980,7845.729980,2046040000
2019-05-06,7662.919922,7804.540039,7662.919922,7794.089844,7794.089844,1966120000
2019-05-07,7713.490234,7743.060059,7572.609863,7640.149902,7640.149902,2372660000
2019-05-08,7623.319824,7678.819824,7593.750000,7617.549805,7617.549805,2175100000
2019-05-09,7525.810059,7605.029785,7472.709961,7582.750000,7582.750000,2520770000
2019-05-10,7556.041992,7575.664551,7426.754395,7499.817383,7499.817383,340927304
